Category,Item,Qty,Preferred specification,Purpose,Alternative,Unit price USD,Line total USD,Where to look,Notes
Power,P-channel MOSFET,1,"IRF4905 or AO3401 (low current), TO-220 or SOT-23",Servo rail soft cutoff,"Automotive relay 5V 10A",0.80,0.80,https://www.google.com/search?q=IRF4905+P+channel+MOSFET,"With a 2N7002 N-FET as the level shifter. Circuit in WIRING.md."
Power,N-channel MOSFET small signal,2,"2N7000 or 2N7002",P-FET gate driver and lamp driver,"BS170",0.20,0.40,https://www.google.com/search?q=2N7000+MOSFET,""
Power,Electrolytic capacitor,1,"1000 uF 10V low-ESR",Servo rail bulk,"2x 470 uF in parallel",0.50,0.50,https://www.google.com/search?q=1000uF+10V+low+ESR+capacitor,"The single most important part for avoiding brownout resets."
Power,Electrolytic capacitor,2,"470 uF 10V",LED rail and audio rail,"220 uF",0.30,0.60,https://www.google.com/search?q=470uF+10V+capacitor,""
Power,Ceramic capacitor,10,"100 nF 50V",Local decoupling,"-",0.05,0.50,https://www.google.com/search?q=100nF+ceramic+capacitor,""
Passive,Resistor kit,1,"1/4W assortment incl. 330R 1k 2.2k 4.7k 10k 22k 47k 100k",LED data and remote ladder,"Individual values",3.00,3.00,https://www.google.com/search?q=1/4W+resistor+assortment+kit,"The remote ladder needs one each of 1k 2.2k 4.7k 10k 22k 47k 100k."
Interconnect,Terminal blocks,4,"5.08 mm screw terminal, 2-3 way, PCB mount",Power distribution,"WAGO 221 lever nuts",0.50,2.00,https://www.google.com/search?q=5.08mm+PCB+screw+terminal,""
Interconnect,JST-XH connector kit,1,"2/3/4-pin with crimps and shells",Module connections,"Dupont with locking shells",8.00,8.00,https://www.google.com/search?q=JST+XH+connector+kit+crimp,"Locking shells - vibration walks bare Dupont off headers."
Interconnect,Silicone hookup wire,1,"22 AWG and 18 AWG, assorted colours",Wiring,"PVC hookup wire",9.00,9.00,https://www.google.com/search?q=silicone+hookup+wire+22AWG+kit,"18-20 AWG for the servo rail, 22-26 AWG for signals."
Interconnect,Heat-shrink assortment,1,"2:1, 1.5-10 mm",Insulation,"Electrical tape (worse)",4.00,4.00,https://www.google.com/search?q=heat+shrink+tubing+assortment,""
Interconnect,Perfboard,1,"70x90 mm double-sided",Power distribution and breakout,"Custom PCB; solderable breadboard",1.50,1.50,https://www.google.com/search?q=70x90+perfboard+double+sided,""
Mechanical,Heat-set inserts M3,50,"M3 x 5.0 mm brass, knurled",Serviceable joints,"M3 nuts in captive pockets",0.12,6.00,https://www.google.com/search?q=M3+heat+set+insert+5mm+brass,"Needs a soldering iron with an insert tip - about 10 dollars extra."
Mechanical,Socket cap screws M3,1,"Assortment M3 x 6/8/10/12/16 mm",Assembly,"Any M3 screws",8.00,8.00,https://www.google.com/search?q=M3+socket+cap+screw+assortment,""
Mechanical,Steel rod 4 mm,1,"4 mm x 200 mm ground rod, or a cut M4 screw",Hinge pin,"M4 bolt with the thread turned down",1.50,1.50,https://www.google.com/search?q=4mm+steel+rod+200mm,""
Mechanical,Shoulder screws M3,2,"M3 x 8 mm shoulder, 4 mm shoulder dia",Linkage pivots,"M3 screw + washer + nyloc",0.80,1.60,https://www.google.com/search?q=M3+shoulder+screw+8mm,"A shoulder screw gives a proper bearing surface for the linkage."
Filament,PETG filament,1,"1 kg, structural parts",Body brackets tray finger,"ABS/ASA if you have an enclosure",22.00,22.00,https://www.google.com/search?q=PETG+filament+1kg,"PETG for anything that carries load or sees heat."
Filament,PLA filament,1,"1 kg, cosmetic parts",Panels lid skin remote shell,"PETG throughout",18.00,18.00,https://www.google.com/search?q=PLA+filament+1kg,"Cheaper and crisper for cosmetic surfaces."
Filament,TPU filament,1,"0.5 kg, 95A",Feet bumpers finger tip,"Rubber feet bought in",14.00,14.00,https://www.google.com/search?q=TPU+95A+filament+500g,"The soft finger tip and the lid stop pads come from here."
Optional,Camera module,1,"OV2640 for ESP32-S3, 24-pin",Optional face and object tracking,"Omit - the project must work without it",6.00,0.00,https://www.google.com/search?q=OV2640+ESP32-S3+camera,"NOT in the base build. See README section on optional features."
Optional,Acrylic dome 26 mm,1,"Clear half-dome or watch glass",Eye lens,"Print eye_lens in clear PETG",1.50,0.00,https://www.google.com/search?q=26mm+clear+acrylic+dome,"Printed lens works; a real dome looks better."
Optional,Li-ion cell + holder,1,"18650 2000 mAh + holder, or a small USB power bank",Remote power,"USB power bank in the battery bay",6.00,0.00,https://www.google.com/search?q=18650+holder+battery,"A power bank is simpler and has no charging circuit to get wrong."
